Resort name and website,Nearest city,State/province,Peak elevation (ft),Base elevation (ft),Vertical drop (ft),Skiable acreage,Total trails,Total lifts,Avg annual snowfall (in),Adult weekend Lift ticket window price (USD),Date statistics updated
Tamarack Resort," Boise, Idaho ",Idaho," 7,660 "," 4,900 "," 2,760 "," 1,100 ",45,6,300,$71," September 28, 2019[175] "
Cottonwood Butte," Cottonwood, Idaho ",Idaho," 5,730 "," 4,885 ",845,260,7,2,45,$20," September 28, 2019[176] "
Bald Mountain (Idaho)," Pierce, Idaho ",Idaho," 4,800 "," 4,000 ",800,140,16,2,100,$20," September 28, 2019[177] "
Silver Mountain (Idaho)," Coeur d'Alene, Idaho ",Idaho," 6,297 "," 4,100 "," 2,197 "," 1,600 ",67,8,300,$58," September 28, 2019[178] "
Mohawk Mountain Ski Area," Cornwall, Connecticut ",Connecticut," 1,600 ",960,640,107,25,8,24,$67," September 28, 2019[179] "
Powder Ridge Ski Area," Middlefield, Connecticut ",Connecticut,803,377,426,80,19,7,60,$49," September 28, 2019[180] "
Ski Sundown," Hartford, Connecticut ",Connecticut,1075,450,625,70,16,5,45,$62," September 28, 2019[181] "
Mount Southington," Waterbury, Connecticut ",Connecticut,525,100,425,51,14,7,80,$62," September 28, 2019[182] "
Yawgoo Valley," Exeter, Rhode Island ",Rhode Island,310,70,240,36,14,3,39,$50," September 28, 2019[183] "
Frost Fire Park," Walhalla, North Dakota ",North Dakota," 1,400 "," 1,070 ",330,,10,3,,$23," September 28, 2019[184] "
Hidden Valley Ski Area," Wildwood, Missouri ",Missouri,860,540,320,65,17,9,19,$49," September 28, 2019[185] "
Snow Creek (ski resort)," Weston, Missouri ",Missouri," 1,099 ",799,300,25,12,5,20,$47," September 28, 2019[186] "
Ober Gatlinburg," Gatlinburg, Tennessee ",Tennessee," 3,300 "," 2,700 ",600,38,10,4,9,$65," September 28, 2019[187] "
Paoli Peaks," Paoli, Indiana ",Indiana,900,600,300,65,17,8,18,$45," September 28, 2019[188] "
Perfect North Slopes," Lawrenceburg, Indiana ",Indiana,800,400,400,100,23,11,23,$52," September 28, 2019[189] "
Alpine Valley Music Theatre," Chesterland, Ohio ",Ohio," 1,500 "," 1,260 ",240,72,11,5,120,$44," September 28, 2019[190] "
Boston Mills/Brandywine Ski Resort," Peninsula, Ohio ",Ohio,871,531,240,79,18,16,54,$44," September 28, 2019[191] "
Mad River Mountain," Bellefontaine, Ohio ",Ohio," 1,460 "," 1,160 ",300,144,23,12,36,$49," September 28, 2019[192] "
Snow Trails," Mansfield, Ohio ",Ohio," 1,475 "," 1,175 ",300,80,17,7,52,$52," September 28, 2019[193] "
Big Creek," Concord, Ohio ",Ohio," 1,466 "," 1,292 ",174,23,5,2,102,Private Club," September 28, 2019 "
Wisp Ski Resort," McHenry, Maryland ",Maryland," 3,115 "," 2,145 ",700,132,34,12,100,$49," September 28, 2019[194] "
Campgaw Mountain," Mahwah, New Jersey ",New Jersey,726,450,276,23,12,5,45,$41," September 28, 2019[195] "
Mountain Creek," Vernon Township, New Jersey ",New Jersey," 1,490 ",450," 1,040 ",167,46,9,65,$80," September 28, 2019[196] "
Big Rock (ski resort)," Presque Isle, Maine ",Maine," 1,590 ",670,920,60,27,3,100,$40," September 29, 2019[197] "
Big Squaw Mountain Resort," Greenville, Maine ",Maine," 2,920 "," 1,300 "," 1,620 "," 1,216 ",33,1,136,$30," September 29, 2019[198] "
Mount Jefferson," Lee, Maine ",Maine,775,343,432,160,13,2,75,$25," September 29, 2019[199] "
New Hermon Mountain," Bangor, Maine ",Maine,450,150,300,70,20,3,90,$35," September 29, 2019[200] "
Camden Snow Bowl," Camden, Maine ",Maine," 1,080 ",235,845,100,17,3,50,$33," September 29, 2019[201] "
Powderhouse Hill (ski area)," Portland, Maine ",Maine,240,120,120,,3,1,,$5," September 29, 2019[202] "
Lost Valley Ski Area," Lewiston, Maine ",Maine,480,240,240,45,27,4,99,$60," September 29, 2019 "
Shawnee Peak Ski Area," Bridgton, Maine ",Maine,,," 1,300 ",245,44,6,110,$75," September 29, 2019[203] "
Sunday River (ski resort)," Newry, Maine ",Maine," 3,140 ",800," 2,340 ",870,153,18,155,$109," September 29, 2019[204] "
Ski Mount Abram," Bethel, Maine ",Maine," 1,990 ",940," 1,050 ",650,44,5,115,$49," September 29, 2019[205] "
Black Mountain of Maine," Lewiston, Maine ",Maine," 2,380 "," 1,000 "," 1,380 ",300,46,2,120,$45," September 29, 2019[206] "
Titcomb Mountain," Augusta, Maine ",Maine,750,400,350,45,16,3,85,$17," September 29, 2019[207] "
Spruce Mountain Ski Slope," Jay, Maine ",Maine,310,10,300,,12,3,,$25," September 29, 2019[208] "
Eaton Mountain," Waterville, Maine ",Maine,840,220,620,130,18,2,72,$15," September 29, 2019[209] "
Baker Mountain (ski area)," Bingham, Maine ",Maine,,,460,,5,1,,$10," September 29, 2019 "
Blandford Ski Area," Blandford, Massachusetts ",Massachusetts," 1,490 "," 1,025 ",465,55,29,5,70,$45," September 29, 2019[210] "
Berkshire East Ski Resort," Greenfield, Massachusetts ",Massachusetts," 1,720 ",540," 1,180 ",180,45,6,120,$69," September 29, 2019[211] "
Ski Butternut," Great Barrington, Massachusetts ",Massachusetts," 1,764 ",645," 1,119 ",110,22,10,115,$65," September 29, 2019[212] "
Jiminy Peak (ski area)," Pittsfield, Massachusetts ",Massachusetts," 2,375 "," 1,125 "," 1,140 ",170,45,8,110,$84," September 29, 2019[213] "
Wachusett Mountain (ski area)," Worcester, Massachusetts ",Massachusetts," 2,006 "," 1,006 "," 1,000 ",110,22,7,100,$73," September 29, 2019[214] "
Nashoba Valley Ski Area,Boston,Massachusetts,422,182,240,59,17,9,55,$60," September 29, 2019[215] "
Blue Hills Ski Area,Boston,Massachusetts,635,326,309,60,8,4,,$45," September 29, 2019[216] "
Otis Ridge Ski Camp," Otis, Massachusetts ",Massachusetts," 1,700 "," 1,300 ",400,55,11,5,70,$40," September 29, 2019[217] "
Ski Bradford," Haverhill, Massachusetts ",Massachusetts,272,24,248,48,15,10,,$58," September 29, 2019[218] "
Ski Ward," Shrewsbury, Massachusetts ",Massachusetts,420,210,210,45,9,6,80,$55," September 29, 2019[219] "
Bousquet Ski Area," Pittsfield, Massachusetts ",Massachusetts," 1,818 "," 1,068 ",750,200,23,5,83,$47," September 29, 2019[220] "
Chestnut Mountain," Galena, Illinois ",Illinois," 1,020 ",600,420,220,19,9,34,$60," September 29, 2019[221] "
Ski Snowstar," Moline, Illinois ",Illinois,790,528,262,28,14,6,38,$41," September 29, 2019[222] "
Four Lakes Alpine Snowsports," Naperville, Illinois ",Illinois,500,400,100,9,7,6,24,$28," September 29, 2019[223] "
Villa Olivia," Bartlett, Illinois ",Illinois,500,320,180,15,7,7,25,$40," September 29, 2019[224] "
Mount Crescent," Omaha, Nebraska ",Iowa," 1,500 "," 1,200 ",300,50,11,2,30,$39," September 29, 2019[225] "
Seven Oaks," Boone, Iowa ",Iowa,975,800,175,35,11,4,40,$40," September 29, 2019[226] "
Sleepy Hollows Sports Park," Des Moines, Iowa ",Iowa,938,800,138,80,8,2,,$25," September 29, 2019[227] "
Sundown Mountain," Dubuque, Iowa ",Iowa," 1,059 ",584,475,55,21,6,45,$46," September 29, 2019[228] "
Bryce Resort," Basye, Virginia ",Virginia," 1,750 "," 1,250 ",500,25,8,7,30,$67," September 29, 2019[229] "
Massanutten Resort," Harrisonburg, Virginia ",Virginia," 2,925 "," 1,750 "," 1,110 ",70,13,7,35,$79," September 29, 2019[230] "
Homestead Resort," Hot Springs, Virginia ",Virginia," 3,200 "," 2,500 ",700,45,10,2,50,$35," September 29, 2019 "
Canaan Valley Resort State Park," Dryfork, West Virginia ",West Virginia," 4,280 "," 3,430 ",850,91,39,4,150,$68," September 29, 2019[231] "
Winterplace Ski Resort," Ghent, West Virginia ",West Virginia," 3,600 "," 2,997 ",603,90,28,9,100,$72," September 29, 2019[232] "
Oglebay Resort," Wheeling, West Virginia ",West Virginia,,,168,,1,1,,$28," September 29, 2019[233] "
Cloudmont Resort," Mentone, Alabama ",Alabama," 1,800 "," 1,650 ",150,9,2,2,0,$40," September 29, 2019[234] "
Anthony Lakes (ski area)," North Powder, Oregon ",Oregon," 8,000 "," 7,100 ",900," 1,100 ",21,3,300,$40," September 29, 2019[235] "
Cooper Spur ski area," Hood River, Oregon ",Oregon," 4,350 "," 4,000 ",350,50,10,4,100,$39," September 29, 2019[236] "
Ferguson Ridge Ski Area," Joseph, Oregon ",Oregon," 5,840 "," 5,200 ",640,170,8,2,300,$20," September 29, 2019[237] "
Hoodoo (ski area)," Sisters, Oregon ",Oregon," 5,703 "," 4,668 "," 1,035 ",806,32,5,360,$56," September 29, 2019[238] "
Mount Hood Skibowl," Government Camp, Oregon ",Oregon," 5,027 "," 3,500 "," 1,527 ",960,65,9,300,$55," September 29, 2019[239] "
Spout Springs Ski Area," Tollgate, Oregon ",Oregon," 5,450 "," 4,920 ",530,200,17,2,130,Closed Temporarily," September 29, 2019 "
Summit Ski Area," Government Camp, Oregon ",Oregon," 4,306 "," 4,000 ",306,70,3,2,150,$38," September 29, 2019[240] "
Timberline Lodge ski area," Government Camp, Oregon ",Oregon," 8,540 "," 4,850 "," 3,620 "," 1,430 ",35,9,540,$75," September 29, 2019[241] "
Warner Canyon," Lakeview, Oregon ",Oregon," 6,003 "," 5,271 ",732,200,21,1,50,$35," September 29, 2019[242] "
Willamette Pass Resort," Oakridge, Oregon ",Oregon," 6,683 "," 5,120 "," 1,563 ",555,29,6,430,$60," September 29, 2019[243] "
Crested Butte Mountain Resort," Crested Butte, Colorado ",Colorado," 12,170 "," 9,115 "," 3,055 "," 1,547 ",121,16,300,$113," September 30, 2019[244] "
Echo Mountain Resort," Evergreen, Colorado ",Colorado," 10,650 "," 10,050 ",600,226,13,2,275,$55," September 30, 2019[245] "
Granby Ranch," Granby, Colorado ",Colorado," 9,202 "," 8,202 ",1000,406,40,5,220,$84," September 30, 2019[246] "
Hesperus Ski Area," Durango, Colorado ",Colorado," 8,888 "," 8,200 ",688,60,26,1,150,$39," September 30, 2019[247] "
Howelsen Hill Ski Area," Steamboat Springs, Colorado ",Colorado," 7,136 "," 6,696 ",440,50,17,4,150,$30," September 30, 2019[248] "
Kendall Mountain Ski Area," Silverton, Colorado ",Colorado," 9,540 "," 9,300 ",240,16,11,1,200,$20," September 30, 2019[249] "
Monarch Ski Area," Salida, Colorado ",Colorado," 11,960 "," 10,790 "," 1,170 ",800,63,5,400,$94," September 30, 2019[250] "
Powderhorn Resort," Grand Junction, Colorado ",Colorado," 9,850 "," 8,200 "," 1,650 "," 1,600 ",63,5,250,$71," September 30, 2019[251] "
Purgatory Resort," Durango, Colorado ",Colorado," 10,822 "," 8,793 "," 2,029 "," 1,200 ",85,10,260,$99," September 30, 2019[252] "
Silverton Mountain," Silverton, Colorado ",Colorado," 13,487 "," 10,400 "," 3,087 "," 1,819 ",48,1,450,$79," September 30, 2019[253] "
Sunlight Ski Area," Glenwood Springs, Colorado ",Colorado," 9,895 "," 7,885 "," 2,010 ",470,67,3,250,$55," September 30, 2019[254] "
Cranor Hill," Gunnison, Colorado ",Colorado," 8,500 "," 8,100 ",400,45,4,1,75,$17," September 30, 2019[255] "
Lake City," Lake City, Colorado ",Colorado," 8,850 "," 8,600 ",250,14,7,1,,$20," September 30, 2019[256] "
Beaver Mountain," Logan, Utah ",Utah," 8,800 "," 7,200 "," 1,600 ",667,47,5,400,$50," September 30, 2019[257] "
Cherry Peak Resort," Richmond, Utah ",Utah," 7,050 "," 5,775 "," 1,265 ",200,29,3,322,$40," September 30, 2019[258] "
Eagle Point," Beaver, Utah ",Utah," 10,600 "," 9,100 "," 1,500 ",650,40,5,400,$65," September 30, 2019[259] "
" Nordic Valley, Utah "," Ogden, Utah ",Utah," 6,400 "," 5,440 ",960,140,23,4,300,$45," September 30, 2019[260] "
Snowbasin," Huntsville, Utah ",Utah," 9,350 "," 6,391 "," 2,959 "," 3,000 ",104,11,350,$99," September 30, 2019[261] "
Solitude Mountain Resort,Salt Lake City,Utah," 10,488 "," 7,988 "," 2,500 "," 1,200 ",80,8,500,$115," September 30, 2019[262] "
Sundance Mountain," Provo, Utah ",Utah," 8,250 "," 6,100 "," 2,150 ",450,44,5,320,$90," September 30, 2019[263] "
Afton Alps," Afton, Minnesota ",Minnesota,700,350,350,300,50,22,60,$28," October 1, 2019[264] "
Andes Tower Hills," Kensington, Minnesota ",Minnesota," 1,620 "," 1,330 ",290,35,15,6,55,$45," October 1, 2019[265] "
Buck Hill," Burnsville, Minnesota ",Minnesota," 1,211 ",949,262,45,16,9,60,$47," October 1, 2019[266] "
Buena Vista Ski Area," Bemidji, Minnesota ",Minnesota," 1,510 ",1280,230,30,16,5,78,$44," October 1, 2019[267] "
Chester Bowl Park," Duluth, Minnesota ",Minnesota,875,700,175,6,5,1,100,$15," October 1, 2019[268] "
Coffee Mill Ski Area," Wabasha, Minnesota ",Minnesota," 1,150 ",725,425,40,14,3,48,$37," October 1, 2019 "
Detroit Mountain," Detroit Lakes, Minnesota ",Minnesota," 1,607 "," 1,443 ",210,45,21,8,,$42," October 1, 2019[269] "
Giants Ridge," Biwabik, Minnesota ",Minnesota," 1,972 "," 1,472 ",500,202,35,7,85,$34," October 1, 2019[270] "
Hyland Hills Ski Area," Bloomington, Minnesota ",Minnesota," 1,075 ",900,175,35,13,6,60,$35.34," October 1, 2019[271] "
Lutsen Mountains,Lutsen Mountains,Minnesota," 1,688 ",825,863," 1,000 ",95,9,115,$86," October 1, 2019[272] "
Mount Itasca," Grand Rapids, Minnesota ",Minnesota,,,,,,,,$20," October 1, 2019[273] "
Mount Kato," Mankato, Minnesota ",Minnesota,840,600,240,55,19,11,50,$49," October 1, 2019[274] "
Powder Ridge," Kimball, Minnesota ",Minnesota,850,540,310,60,15,6,45,$50," October 1, 2019[275] "
Mount Ski Gull," Nisswa, Minnesota ",Minnesota," 1,515 "," 1,285 ",230,40,10,5,50,$39.99," October 1, 2019[276] "
Spirit Mountain (ski area)," Duluth, Minnesota ",Minnesota," 1,298 ",620,678,175,22,8,90,$59," October 1, 2019[277] "
Welch Village," Red Wing, Minnesota ",Minnesota," 1,060 ",700,360,140,60,11,45,$62," October 1, 2019[278] "
Wild Mountain," Taylors Falls, Minnesota ",Minnesota," 1,113 ",813,300,100,26,9,50,$56," October 1, 2019[279] "
Abenaki Ski Area," Wolfeboro, New Hampshire ",New Hampshire,815,600,215,18,7,2,,$25," December 8, 2019[280] "
Arrowhead Recreation Area," Claremont, New Hampshire ",New Hampshire,,,120,225,9,2,,$9," December 8, 2019[281] "
Attitash Mountain Resort," North Conway, New Hampshire ",New Hampshire," 2,350 ",600," 1,750 ",311`,68,9,120,$56," December 8, 2019[282] "
Black Mountain Ski Area (New Hampshire)," Jackson, New Hampshire ",New Hampshire," 2,350 "," 1,250 "," 1,100 ",143,40,5,125,$62," December 8, 2019[283] "
Bretton Woods," Bretton Woods, New Hampshire ",New Hampshire," 3,100 "," 1,600 "," 1,500 ",464,62,10,200,$96," December 8, 2019[284] "
Cannon Mountain Ski Area," Franconia, New Hampshire ",New Hampshire," 4,180 "," 1,850 "," 2,330 ",265,73,10,160,$82," December 8, 2019[285] "
Campton Mountain," Campton, New Hampshire ",New Hampshire," 1,505 "," 1,192 ",313,,,2,,$20," December 8, 2019[286] "
Cranmore Mountain Resort," North Conway, New Hampshire ",New Hampshire," 2,000 ",600," 1,200 ",200,54,10,150,$89," December 8, 2019[287] "
Crotched Mountain Ski &amp; Ride," Manchester, New Hampshire ",New Hampshire,2066,1050," 1,016 ",75,23,5,105,$71," December 8, 2019[288] "
Dartmouth Skiway," Lyme, New Hampshire ",New Hampshire," 1,943 ",975,968,104,30,4,100,$53," December 8, 2019[289] "
Veterans Memorial Recreation Area," Franklin, New Hampshire ",New Hampshire,,,220,,10,2,,Free," December 8, 2019[290] "
Granite Gorge Ski Area," Keene, New Hampshire ",New Hampshire," 1,325 ",935,390,150,19,3,,$49," December 8, 2019[291] "
Gunstock Mountain Resort," Laconia, New Hampshire ",New Hampshire," 2,267 ",867," 1,400 ",227,55,6,120,$84," December 8, 2019[292] "
Kanc Recreation Area," Lincoln, New Hampshire ",New Hampshire," 1,080 ",859,221,7,2,1,,$5," December 8, 2019[293] "
King Pine," Madison, New Hampshire ",New Hampshire,850,500,350,48,17,6,120,$59," December 8, 2019 "
Loon Mountain Ski Resort," Lincoln, New Hampshire ",New Hampshire," 3,050 ",950," 2,100 ",370,61,12,163,$104," December 8, 2019[294] "
McIntyre Ski Area," Manchester, New Hampshire ",New Hampshire,510,340,169,37,10,5,,$42," December 8, 2019[295] "
Mt. Eustis Ski Hill," Littleton, New Hampshire ",New Hampshire," 1,373 "," 1,133 ",240,,,1,,$5," December 8, 2019[296] "
Mount Prospect Ski Tow," Lancaster, New Hampshire ",New Hampshire," 1,700 "," 1,400 ",300,,,1,,$7," December 8, 2019[297] "
Mount Sunapee Resort," Claremont, New Hampshire ",New Hampshire," 2,743 "," 1,230 "," 1,513 ",230,66,11,100,$79," December 8, 2019[298] "
Pats Peak," Henniker, New Hampshire ",New Hampshire," 1,460 ",690,770,103,28,11,100,$75," December 8, 2019[299] "
Ragged Mountain Resort," Danbury, New Hampshire ",New Hampshire,2250,1000," 1,250 ",250,57,6,100,$87," December 8, 2019[300] "
Red Hill Ski Area," Moultonborough, New Hampshire ",New Hampshire,820,610,210,,9,1,,$25/season," December 8, 2019[301] "
Storrs Hill Ski Area," Lebanon, New Hampshire ",New Hampshire,580,280,300,20,3,1,,$15," December 8, 2019[302] "
Tenney Mountain Ski Resort," Plymouth, New Hampshire ",New Hampshire," 2,149 ",749," 1,400 ",110,45,3,140,$59," December 8, 2019[303] "
Waterville Valley Resort," Waterville Valley, New Hampshire ",New Hampshire," 3,840 "," 1,820 "," 2,020 ",220,50,11,150,$69," December 8, 2019[304] "
Whaleback (ski area)," Enfield, New Hampshire ",New Hampshire," 1,800 "," 1,100 ",700,85,30,4,110,$45," December 8, 2019[305] "
Wildcat Mountain Ski Area," Jackson, New Hampshire ",New Hampshire," 4,062 "," 1,950 "," 2,112 ",225,48,5,207,$120," December 8, 2019[306] "
Bear Creek Ski and Recreation Area," Allentown, Pennsylvania ",Pennsylvania," 1,100 ",590,510,86,21,7,30,$60," December 9, 2019[307] "
Blue Knob All Seasons Resort," Claysburg, Pennsylvania ",Pennsylvania," 3,146 "," 2,074 "," 1,072 ",100,34,6,120,$70," December 9, 2019[308] "
Blue Mountain Resort," Palmerton, Pennsylvania ",Pennsylvania," 1,540 ",458," 1,082 ",164,39,13,33,$70," December 9, 2019[309] "
Boyce Park Four Seasons Lodge," Plum, Pennsylvania ",Pennsylvania," 1,245 "," 1,115 ",130,25,9,5,,$28," December 9, 2019[310] "
Camelback Mountain Resort," Scranton, Pennsylvania ",Pennsylvania," 2,130 "," 1,330 ",800,166,35,16,50,$78," December 9, 2019[311] "
Elk Mountain Ski Area," Scranton, Pennsylvania ",Pennsylvania," 2,667 "," 1,742 ",925,180,27,7,60,$69," December 9, 2019[312] "
Hidden Valley Resort (Pennsylvania)," Hidden Valley, Pennsylvania ",Pennsylvania," 2,875 "," 2,405 ",470,110,26,11,140,$61," December 9, 2019[313] "
Jack Frost Ski Resort," White Haven, Pennsylvania ",Pennsylvania," 2,000 "," 1,400 ",600,145,35,22,50,$68," December 9, 2019[314] "
Laurel Mountain Ski Resort," Ligonier, Pennsylvania ",Pennsylvania," 2,800 "," 2,000 ",800,70,20,2,,$58," December 9, 2019[315] "
Liberty Mountain Resort," Gettysburg, Pennsylvania ",Pennsylvania," 1,190 ",570,620,100,22,9,31,$105," December 9, 2019[316] "
Mount Pleasant of Edinboro," Edinboro, Pennsylvania ",Pennsylvania," 1,550 "," 1,200 ",350,35,10,2,150,$33," December 9, 2019[317] "
Seven Springs Mountain Resort," Seven Springs, Pennsylvania ",Pennsylvania," 2,994 "," 2,240 ",750,285,40,14,150,$76," December 9, 2019[318] "
Shawnee Mountain Ski Area," East Stroudsburg, Pennsylvania ",Pennsylvania," 1,351 ",700,651,125,23,9,50,$68," December 9, 2019[319] "
Ski Big Bear," Lackawaxen Township, Pike County, Pennsylvania ",Pennsylvania," 1,250 ",600,650,26,18,7,69,$64," December 9, 2019[320] "
Denton Hill State Park," Ulysses, Pennsylvania ",Pennsylvania," 2,460 "," 1,800 ",660,,,5,,Closed Temporarily," December 9, 2019[321] "
Roundtop Mountain Resort," Lewisberry, Pennsylvania ",Pennsylvania," 1,335 ",755,600,103,20,7,30,$73," December 9, 2019[322] "
Spring Mountain Adventure," Schwenksville, Pennsylvania ",Pennsylvania,528,78,450,45,9,6,20,$48," December 9, 2019[323] "
Ski Sawmill Resort," Morris, Pennsylvania ",Pennsylvania," 2,215 "," 1,700 ",515,15,14,5,24,$48," December 9, 2019[324] "
Montage Mountain Ski Resort," Scranton, Pennsylvania ",Pennsylvania," 1,960 ",960,1000,140,26,9,60,$58," December 9, 2019[325] "
Tussey Mountain Ski Area," State College, Pennsylvania ",Pennsylvania," 1,750 "," 1,230 ",520,38,7,3,41,$62," December 9, 2019[326] "
Whitetail Ski Resort," Clear Spring, Maryland ",Pennsylvania," 1,800 ",865,935,109,25,9,40,$64," December 9, 2019[327] "
Alpine Valley Resort (Wisconsin)," Elkhorn, Wisconsin ",Wisconsin," 1,040 ",820,220,90,20,12,80,$53," December 9, 2019[328] "
Bruce Mound Winter Sports Area," Merrillan, Wisconsin ",Wisconsin," 1,375 "," 1,000 ",375,40,12,5,42,$26," December 9, 2019[329] "
Camp 10 Ski Area," Rhinelander, Wisconsin ",Wisconsin," 1,740 "," 1,510 ",230,,15,4,,$38," December 9, 2019[330] "
Cascade Mountain (ski area)," Portage, Wisconsin ",Wisconsin," 1,270 ",820,450,175,47,11,56,$66," December 9, 2019[331] "
Christie Mountain (ski area)," Bruce, Wisconsin ",Wisconsin," 1,650 "," 1,300 ",350,45,30,5,48,$40," December 9, 2019[332] "
Christmas Mountain," Wisconsin Dells, Wisconsin ",Wisconsin," 1,250 "," 1,000 ",250,40,16,3,20,$45," December 9, 2019[333] "
The Rock Snowpark,Milwaukee,Wisconsin,925,700,225,75,10,5,,$36," December 9, 2019[334] "
Devil's Head Resort," Baraboo, Wisconsin ",Wisconsin," 1,420 ",930,490,268,28,10,55,$66," December 9, 2019[335] "
Granite Peak Ski Area," Wausau, Wisconsin ",Wisconsin," 1,950 "," 1,250 ",700,220,75,7,75,$49," December 9, 2019[336] "
Kettlebowl," Antigo, Wisconsin ",Wisconsin," 1,780 "," 1,455 ",325,,7,5,,$5," December 9, 2019[337] "
Kewaunee Winter Park," Kewaunee, Wisconsin ",Wisconsin,740,580,160,,5,1,,$15," December 9, 2019[338] "
Keyes Peak Ski Hill," Florence (town), Wisconsin ",Wisconsin," 1,480 "," 1,250 ",230,,5,2,60,$12," December 9, 2019[339] "
Little Switzerland (Wisconsin)," Slinger, Wisconsin ",Wisconsin," 1,269 "," 1,069 ",200,50,18,8,45,$43," December 9, 2019[340] "
Mont Du Lac Resort," Superior, Wisconsin ",Wisconsin,920,640,270,10,11,2,55,$40," December 9, 2019[341] "
Grand Geneva Resort and Spa," Lake Geneva, Wisconsin ",Wisconsin,1000,789,211,30,20,5,25,$55," December 9, 2019[342] "
Mount Ashwabay Ski and Recreation Area," Bayfield, Wisconsin ",Wisconsin,,,317,65,13,2,,$26," December 9, 2019[343] "
Mount La Cross," La Crosse, Wisconsin ",Wisconsin," 1,010 ",594,516,100,19,4,40,$58," December 9, 2019[344] "
Navarino Hills," Shiocton, Wisconsin ",Wisconsin,885,785,100,,,4,,Temporarily Closed," December 9, 2019[345] "
Nordic Mountain," Wild Rose, Wisconsin ",Wisconsin," 1,137 ",872,265,60,18,7,80,$39," December 9, 2019[346] "
Nutt Hill Ski Area," Plymouth, Wisconsin ",Wisconsin,,,100,10,2,1,,Temporarily Closed," December 9, 2019[347] "
Powers Bluff County Park and Winter Recreation Area," Arpin, Wisconsin ",Wisconsin," 1,430 "," 1,180 ",250,,3,2,,$10," December 9, 2019[348] "
Standing Rocks County Park and Winter Recreation Area," Portage, Wisconsin ",Wisconsin,,,125,,5,1,,$16," December 9, 2019[349] "
Sunburst Winter Sports Park," West Bend, Wisconsin ",Wisconsin," 1,100 ",866,214,40,12,9,50,$44," December 9, 2019[350] "
Triangle Sports Area," Green Bay, Wisconsin ",Wisconsin,710,640,70,,2,3,,$5," December 9, 2019[351] "
Trollhaugen," Dresser, Wisconsin ",Wisconsin," 1,200 ",920,280,86,24,10,50,$55," December 9, 2019[352] "
Tyrol Basin," Mount Horeb, Wisconsin ",Wisconsin," 1,130 ",870,260,30,16,6,41,$48," December 9, 2019[353] "
Whitecap Mountains Resort," Upson, Wisconsin ",Wisconsin," 1,750 "," 1,295 ",400,400,43,5,200,$65," December 9, 2019[354] "
Whitetail Ridge Ski Area," Fort McCoy, Wisconsin ",Wisconsin," 1,050 ",865,185,,,1,,$37," December 9, 2019[355] "
Wilmot Mountain," Wilmot, Wisconsin ",Wisconsin,960,770,190,120,23,11,48,$65," December 9, 2019[356] "
Alpine Valley," White Lake Township, Michigan ",Michigan,500,126,374,100,25,14,20,$48," December 9, 2019[357] "
Apple Mountain," Freeland, Michigan ",Michigan,820,600,220,80,12,6,52,Temporarily Closed," December 9, 2019[358] "
Big Powderhorn Mountain," Bessemer, Michigan ",Michigan," 1,800 "," 1,200 ",600,253,45,10,214,$69," December 9, 2019[359] "
Bittersweet Ski Resort," Otsego, Michigan ",Michigan,850,450,400,100,20,12,90,$50," December 9, 2019[360] "
" Blackjack Ski Resort (Bessemer, Michigan) (includes Blackjack and Indianhead Mountain) "," Bessemer, Michigan ",Michigan," 1,935 "," 1,297 ",638,321,56,17,205,$65," December 9, 2019[361] "
Boyne Highlands," Harbor Springs, Michigan ",Michigan," 1,290 ",745,545,435,55,10,140,$75," December 9, 2019[362] "
Caberfae Peaks Ski &amp; Golf Resort," Cadillac, Michigan ",Michigan," 1,569 "," 1,060 ",485,200,34,5,140,$59," December 9, 2019[363] "
Cannonsburg Ski Area," Belmont, Michigan ",Michigan," 1,100 ",850,250,100,21,10,100,$39," December 9, 2019[364] "
Crystal Mountain (Michigan)," Thompsonville, Michigan ",Michigan," 1,132 ",757,375,102,58,8,132,$74," December 9, 2019[365] "
Hickory Hills Ski Area," Traverse City, Michigan ",Michigan,,,237,125,8,5,,$25," December 9, 2019[366] "
The Homestead," Glen Arbor Township, Michigan ",Michigan,900,580,320,16,15,5,150,$39," December 9, 2019[367] "
Marquette Mountain," Marquette, Michigan ",Michigan," 1,257 ",800,457,169,25,4,117,$54," December 9, 2019[368] "
Mont Ripley Ski Area," Hancock, Michigan ",Michigan," 1,140 ",700,440,112,25,4,275,$52," December 9, 2019[369] "
Mount Bohemia," Mohawk, Michigan ",Michigan," 1,500 ",600,900,585,102,2,273,$74," December 9, 2019[370] "
Mount Brighton," Brighton, Michigan ",Michigan," 1,330 "," 1,100 ",230,130,26,13,60,$64," December 9, 2019[371] "
Mount Holiday Ski and Recreational Area," Traverse City, Michigan ",Michigan,440,240,200,45,12,4,120,$34," December 9, 2019[372] "
Mount McSauba," Charlevoix, Michigan ",Michigan,650,400,150,80,10,4,,$18," December 9, 2019[373] "
Mount Zion Ski Hill," Ironwood, Michigan ",Michigan," 1,400 "," 1,100 ",300,20,9,2,,$25," December 9, 2019[374] "
Mulligan's Hollow Ski Bowl," Grand Haven, Michigan ",Michigan,700,570,130,10,7,5,60,$20," December 9, 2019[375] "
Norway Mountain Resort," Norway, Michigan ",Michigan," 1,335 ",835,500,186,17,6,100,$45," December 9, 2019[376] "
